                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                   1.03,                0.88053,                  1.421,                0.68331,                0.67894,                0.71443,                0.50786,                 1.2578,                 1.6758,                 1.7372,                0.00208,                0.00208,                0.00208
                     83,                 1.0273,                0.88599,                  1.415,                0.67638,                0.67172,                0.70584,                0.50513,                 1.2585,                 1.6847,                 1.7404,               0.001981,               0.001981,               0.001981
                     84,                 1.0178,                0.86593,                 1.4048,                  0.667,                0.66674,                0.70535,                0.50454,                 1.2595,                   1.69,                 1.7423,               0.001882,               0.001882,               0.001882
                     85,                 1.0075,                 0.8531,                 1.3986,                0.67101,                0.66909,                0.71287,                0.50557,                 1.2613,                 1.6961,                 1.7458,               0.001783,               0.001783,               0.001783
                     86,                0.99012,                0.83353,                 1.3832,                0.70605,                0.63888,                0.71282,                0.50571,                 1.2615,                 1.7002,                 1.7471,               0.001684,               0.001684,               0.001684
                     87,                  0.988,                0.84447,                 1.3809,                0.71581,                0.63562,                0.71267,                0.50533,                 1.2625,                 1.7089,                 1.7492,               0.001585,               0.001585,               0.001585
                     88,                0.97155,                 0.8231,                 1.3676,                0.70932,                0.63729,                0.71147,                0.50567,                 1.2646,                 1.7161,                 1.7531,               0.001486,               0.001486,               0.001486
                     89,                0.95145,                0.79528,                 1.3527,                0.73261,                 0.6275,                0.70798,                 0.5061,                 1.2669,                 1.7242,                 1.7558,               0.001387,               0.001387,               0.001387
                     90,                0.94726,                0.79588,                 1.3461,                0.71641,                0.62962,                0.70508,                0.50527,                 1.2694,                 1.7359,                 1.7597,               0.001288,               0.001288,               0.001288
                     91,                0.92689,                0.75981,                  1.331,                0.70868,                0.63891,                0.69793,                0.50608,                 1.2701,                 1.7443,                 1.7622,               0.001189,               0.001189,               0.001189
                     92,                0.92374,                0.76795,                 1.3303,                0.71038,                0.63841,                 0.6993,                0.50701,                 1.2743,                 1.7562,                 1.7695,                0.00109,                0.00109,                0.00109
                     93,                0.91504,                0.74792,                 1.3218,                0.70705,                0.63909,                0.69733,                0.50523,                 1.2752,                 1.7644,                 1.7734,               0.000991,               0.000991,               0.000991
                     94,                0.90307,                0.74942,                 1.3121,                 0.7105,                0.63998,                0.69693,                0.50461,                 1.2759,                 1.7751,                 1.7764,               0.000892,               0.000892,               0.000892
                     95,                0.88822,                0.73047,                  1.304,                0.70981,                0.64022,                0.69609,                0.50267,                 1.2789,                 1.7844,                 1.7828,               0.000793,               0.000793,               0.000793
                     96,                0.78615,                0.51559,                 1.2385,                0.70734,                0.63801,                0.69486,                0.50473,                 1.2838,                 1.7977,                 1.7904,               0.000694,               0.000694,               0.000694
                     97,                0.76907,                0.49472,                 1.2209,                0.70584,                0.63135,                0.69378,                0.50252,                  1.285,                 1.8129,                 1.7943,               0.000595,               0.000595,               0.000595
                     98,                 0.7571,                0.48634,                 1.2203,                0.70802,                0.63077,                0.69329,                0.50436,                 1.2863,                 1.8258,                 1.7992,               0.000496,               0.000496,               0.000496
                     99,                0.74213,                0.46652,                  1.207,                0.70294,                0.63827,                0.69302,                0.50236,                 1.2904,                 1.8452,                 1.8077,               0.000397,               0.000397,               0.000397
                    100,                0.72138,                0.46696,                 1.1874,                 0.7003,                0.63755,                0.69272,                0.50273,                 1.2938,                 1.8628,                 1.8164,               0.000298,               0.000298,               0.000298
